arm,tag,config,recovers,worse_than_zero,amp_near_cylinder,relL2_near_cylinder,corr_near_cylinder,amp_near_wake,relL2_near_wake,corr_near_wake,amp_far_wake,relL2_far_wake,corr_far_wake,amp_far_core,relL2_far_core,corr_far_core,amp_whole_domain,relL2_whole_domain,corr_whole_domain,ns_whole_uniform,ns_far_core,ns_formation_wake,ns_near_cylinder,Eu_whole,Ev_whole,Ep_whole,Eu_nearwake,Ev_nearwake,Ep_nearwake,Eu_farwake,Ev_farwake,Ep_farwake,prior_alone_amp_far_core,PressureOnly,SparseData,NTaps,Noise,Prior,BVF,sampler,FreestreamBC,FluctInletBC,SkipAdam,Nmodes,Seed,Tmax,Nint,Nmes,total_loss,physics_loss,pressure_tap_loss,lbfgs_it,lbfgs_nf,LBFGSMaxit,cap_hit,term,lbfgs_s,adam_s,wall_h,run_dir,folder,regime
1,baseline_physics_only,32 taps,False,False,0.23297214707193703,0.9109867766833559,0.5902256375213265,0.053547688578845294,1.0027584646119267,0.0822224367766443,0.021598279196610882,0.9975692686865472,0.1416339535130898,0.018948157115054525,0.9974424387095059,0.16035731079632312,0.04659970799634275,0.9982455018511894,0.06938340482171801,,,,,0.3525416171248772,0.8035550514210666,0.5622520381489251,0.27273723103122655,1.0366273605311191,0.6163448422508141,0.5002203592331037,1.0139960693163825,2.3331980827043837,,True,True,32,0.0,False,False,uniform,True,False,False,4,0,9.0,50000,5000,0.00029651966178789735,0.0002851361932698637,1.1383463970560115e-05,5081,5503,50000,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,13643.0,18271.0,9.009305555555555,/content/run_baseline_physics_only_K3/OutputPythonScript/ModalPINN_2026_08_24-05_19_05__740_Ponly_Ntap32_FSBC,01_baseline_physics_only,collapsed
2,wall_vorticity_flux,32 taps + BVF (FIBC on),False,False,0.4999786215937456,0.6367083490757319,0.8826518705593922,0.12045145044316044,1.0321204272911464,0.2522350345873903,0.10359961721710652,0.9958316689892045,0.09697623131497295,0.08945028867368397,0.9945783710976569,0.10809460503298413,0.12289292084246899,1.0040191585427707,0.0790173297854938,,,,,0.40336121645818357,0.8437715149770469,0.6625495845702211,0.29277987106334324,1.1043937282923897,0.6784697259140023,0.5828950451811467,1.0600532642676121,2.839129450819306,,True,True,32,0.0,False,True,uniform,True,True,False,4,0,9.0,50000,5000,7.421716145472601e-05,6.876238330733031e-05,3.6804340197704732e-06,22728,24307,50000,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,22392.0,9550.0,9.008694444444444,/content/run_boundary_vorticity_flux_K3/OutputPythonScript/ModalPINN_2026_08_24-05_26_43__757_Ponly_Ntap32_FSBC_FIBC_BVF_lam0p1,02_wall_vorticity_flux,collapsed
3,karman_prior_fluct_on,32 taps + prior (FIBC on),True,False,0.6880231400920245,0.5067388293059337,0.9029268332928441,0.9652451065627784,0.33067722854034287,0.9488104722910893,0.809862724418246,0.30175632983078937,0.969164186331777,0.8087839920694475,0.294768816437077,0.9715874068330583,0.8623091594173078,0.3184082985700133,0.9559544594887179,0.0012006569129800687,0.0013830734709447947,0.003811089688419178,0.007717093452648877,0.1591567465835213,0.3767791214610291,0.25970876972519025,0.1585987431728947,0.4803452833848595,0.2864590874626735,0.20013152750932353,0.47186515316496985,1.036072394294082,0.8082260065535708,True,True,32,0.0,True,False,uniform,True,True,False,4,0,9.0,50000,5000,0.0010921237990260124,0.0010822848416864872,9.838953701546416e-06,5702,6056,50000,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,5324.0,26319.0,9.014888888888889,/content/run_karman_prior_K3/OutputPythonScript/ModalPINN_2026_08_24-05_16_58__839_Ponly_Ntap32_FSBC_FIBC_V1RAD_rho0p6_x3p0,03_karman_prior_fluct_on,recovered
4,paper_sparse_probes,"probes (u,v,p)",True,False,0.7729898701695468,0.3602447520805729,0.9713044002217984,0.9919353318597802,0.2950335375911551,0.9997226093051768,0.8669218069207891,0.3732274288170179,0.9906921434950657,0.8657818823473059,0.37345486697724967,0.9919253289340241,0.9072056325257425,0.35057510682512427,0.9909834955987037,,,,,0.04661146113398012,0.20234827270572436,0.12848205206777166,0.015128553328313563,0.04807704597453537,0.047428194835353675,0.07054470605666834,0.31545794640405367,0.6365285295982839,,False,True,32,0.0,False,False,uniform,True,False,False,4,0,9.0,50000,5000,0.0010471746791154146,0.0004631064657587558,0.0005840681842528284,11682,12393,50000,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,11991.0,19986.0,9.022194444444445,/content/run_paper_sparse_probes/OutputPythonScript/ModalPINN_2026_08_25-00_17_31__819_FSBC,04_paper_sparse_probes,recovered
6,wake_biased_random,32 taps + wake-biased random,False,True,0.7105370072227397,0.5038970257542804,0.9353047878088723,0.35481169996374134,1.1559147112358312,0.38090666284756414,0.341687235285932,1.0312184418694958,0.07985305401099634,0.2975191771056635,1.0155582490203934,0.09632719788013151,0.3695256344990723,1.0732741939642718,0.09069061080928752,,,,,0.3192509788636744,0.8331297150316032,0.6167377530710695,0.27675381671800026,1.1140543608392068,0.6829482453858853,0.4351615065727089,1.0250459734423643,2.5165659862412975,,True,True,32,0.0,False,False,wake_biased_random,True,False,False,4,0,9.0,50000,5000,8.592695667175576e-05,7.546405686298385e-05,1.0462901627761312e-05,41171,43676,50000,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,36544.0,17.0,10.27438888888889,/content/run_wake_biased_random/OutputPythonScript/ModalPINN_2026_08_25-10_23_12__82_Ponly_Ntap32_FSBC_WAKEBIAS,06_wake_biased_random,"amplitude, no phase"
7,wake_biased_grid,32 taps + wake-biased grid,False,True,0.6950204297165232,0.5063617992913455,0.9379424879813515,0.3220039818264416,1.132545258737372,0.38508867404706576,0.29148911997808935,1.0175307916177176,0.08550895158799096,0.25404048759914244,1.0062138049441869,0.1025551500532535,0.3275177449061562,1.056247321404068,0.09454355392981284,,,,,0.30439844310869313,0.8182918977887864,0.567613952685002,0.2698086726043717,1.0854411253374046,0.6471592845027868,0.41121778838022294,1.0114941459351807,2.265958721762866,,True,True,32,0.0,False,False,wake_biased_grid,True,False,False,4,0,9.0,50000,5000,9.178338950732723e-05,8.027781586861238e-05,1.1505575457704253e-05,35313,37713,50000,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,32179.0,18.0,9.069444444444445,/content/run_wake_biased_grid/OutputPythonScript/ModalPINN_2026_08_25-00_19_34__688_Ponly_Ntap32_FSBC_WAKEGRID,07_wake_biased_grid,"amplitude, no phase"
8,taps_08,8 taps,False,False,0.3065991164123014,0.7708768323331642,0.8201549036105537,0.13122836339721317,1.0444173713833296,0.3462010869504792,0.08572913649170243,0.9928936121694447,0.13683469819999705,0.07589276766924809,0.9922809108701595,0.15605611282826926,0.11067021870820519,1.007440756916713,0.04517739125049242,,,,,0.38466545932929497,0.8278576709870892,0.6054726266396251,0.2922498279703337,1.0818741460133996,0.6500873045692833,0.5480376786697567,1.035501943762732,2.5047233293718225,,True,True,8,0.0,False,False,uniform,True,False,False,4,0,9.0,50000,5000,9.346581646241248e-05,9.16227072593756e-05,1.843108634602686e-06,25331,27130,50000,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,22951.0,9024.0,9.006694444444443,/content/run_taps_08/OutputPythonScript/ModalPINN_2026_08_25-01_24_29__444_Ponly_Ntap8_FSBC,08_taps_08,collapsed
9,taps_16,16 taps,False,False,0.37229881232974876,0.7088272966663776,0.8572193816500854,0.1682616287027545,1.0595320095175076,0.3640885522493618,0.11138574421434057,0.9935347202662063,0.11988854262694766,0.0984411914205298,0.9923024074614495,0.13764493241437045,0.14345460362942983,1.0127375857676493,0.06885725654390511,,,,,0.40164342318842433,0.8465537974318743,0.6563917468084846,0.29493517019815657,1.1257705307034362,0.6854128411448901,0.5787002681632619,1.050339959921896,2.7731636838318927,,True,True,16,0.0,False,False,uniform,True,False,False,4,0,9.0,50000,5000,7.680633279960603e-05,7.202736014733091e-05,4.778971288033063e-06,20303,21868,50000,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,18075.0,13918.0,9.006583333333333,/content/run_taps_16/OutputPythonScript/ModalPINN_2026_08_25-01_25_22__102_Ponly_Ntap16_FSBC,09_taps_16,collapsed
10,prior_wake_biased_grid,32 taps + prior + wake-biased grid,True,False,0.7611712868843407,0.5186062708864213,0.8987270854639655,0.7995228598687882,0.5782413452922184,0.8174185003681022,0.6270274410773019,0.4805400772894864,0.9278149585378204,0.6137520823478674,0.4683510719575476,0.9435658333918805,0.7420921457353056,0.5874833821046304,0.8134647339452867,0.12941370859474707,0.0003260306428004721,0.00041880766425350646,0.001470882690662039,0.5474681057565082,0.9219936915890752,1.2132273532563764,0.35094765664208416,1.04236704044971,0.9030996345341409,0.7970758872611295,1.1170218713715545,5.268080560502546,0.8082260065535708,True,True,32,0.0,True,False,wake_biased_grid,True,False,False,4,0,9.0,50000,5000,0.00043780324631370604,0.0004183927667327225,1.941047412401531e-05,24577,26129,50000,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,21916.0,9777.0,9.01425,/content/run_prior_wake_biased_grid/OutputPythonScript/ModalPINN_2026_08_25-10_23_58__625_Ponly_Ntap32_FSBC_WAKEGRID_V1RAD_rho0p6_x3p0,10_prior_wake_biased_grid,recovered
11,prior_noise_01pct,32 taps + prior + noise 4.7e-04,True,False,0.6084117704579969,0.6747651167334524,0.7519170473209388,0.8928870530315279,0.36837953388478223,0.9304628214004124,0.8113977666752025,0.31934631222279813,0.9676859015753358,0.8110602593137273,0.31396377678348236,0.9693863227992446,0.8487925715107215,0.3701001864897812,0.936773431397246,0.0023435514052379063,0.0013074848361214223,0.0039435130612661805,0.009257831430854433,0.16344898473976863,0.4013249891066607,0.2969352019334782,0.17008634677425905,0.5298374318503157,0.36155615226352555,0.19777106332808067,0.4572629799749746,1.0677753886774852,0.8082260065535708,True,True,32,0.00047265,True,False,uniform,True,False,False,4,0,9.0,50000,5000,0.0011841028463095427,0.00116785429418087,1.624854667170439e-05,5026,5376,50000,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,4727.0,26976.0,9.017222222222221,/content/run_prior_noise_01pct/OutputPythonScript/ModalPINN_2026_08_25-12_51_43__525_Ponly_Ntap32_FSBC_V1RAD_rho0p6_x3p0,11_prior_noise_01pct,recovered
