category,item,value,unit,source,check
dataset,raw_path,ModalPINN2.0/1_data/fixed_cylinder_atRe100,workspace-relative path,fixed_cylinder_atRe100,exists
dataset,raw_sha256,218099d4f56eaf8c49e34e94c8b30bb580df204d3dd513d92334bb26f2c36996,sha256,fixed_cylinder_atRe100,
dataset,cache_path,ModalPINN2.0/1_data/flow_cache.npz,workspace-relative path,flow_cache.npz,exists
dataset,cache_sha256,6335be20db7e26944fc203098ed9be6f2cda4f96f039c67e35bb7830f72d5775,sha256,flow_cache.npz,
dataset,cache_raw_first_snapshot_coordinate_max_abs_diff,3.812e-06,D,raw versus float32 cache,pass < 5e-6
dataset,cache_raw_first_snapshot_field_max_abs_diff,5.960e-08,field units,raw versus float32 cache,pass < 1e-6
physics,Re,100,dimensionless,dataset header,matches training
physics,Ur,1e+06,dataset value,dataset header,
physics,freestream_velocity,1,dimensionless,training code,
geometry,cylinder_center,"(0, 0)",D,training code,
geometry,cylinder_radius,0.5,D,training code,
geometry,cylinder_diameter,1,D,training code,
time,snapshot_count,201,snapshots,flow_cache.npz,
time,time_range,"[400, 420]",D/U_inf,flow_cache.npz,
time,time_step,0.1,D/U_inf,flow_cache.npz,uniform
mesh,full_node_count,82872,nodes,flow_cache.npz,
mesh,analysis_crop,-4 < x < 8; -4 < y < 4,D,evaluation convention,
mesh,cropped_node_count,51654,nodes,computed crop,
variables,stored_fields,u; v; p,dimensionless,flow_cache.npz,all finite
region,near-cylinder,r < 0.75,mask,evaluation code,13715 nodes
region,near-wake,r >= 0.75 and 0 <= x < 3,mask,evaluation code,15248 nodes
region,far-wake,r >= 0.75 and x >= 3,mask,evaluation code,16393 nodes
region,far-core,far-wake and |y| <= 2 (nested subset),mask,evaluation code,12460 nodes; nested in far-wake
region,other,complement of near-cylinder; near-wake; far-wake,mask,evaluation code,6298 nodes
region,whole-domain,all nodes in the strict analysis crop,mask,evaluation code,51654 nodes
sensor,pressure_taps_8,8,distinct wall nodes,nearest nodes to uniform angles,pass
sensor,pressure_taps_16,16,distinct wall nodes,nearest nodes to uniform angles,pass
sensor,pressure_taps_32,32,distinct wall nodes,nearest nodes to uniform angles,pass
sensor,velocity_probes,40,distinct mesh nodes,4 x-sections times 10 y targets,pass
sensor,velocity_probe_sections,-3; 1; 2; 3,x/D,training reader,
sensor,velocity_probe_max_target_offset,0.175776,D,nearest-node selection,
