analysis_id,method_id,method,region,metric,legacy_window_value,corrected_absolute_value,absolute_change,correction_reason,verification
A01,dense_observations,Dense observations + physics,far-core,rel_L2,0.29163225595942155,0.005388283182847069,-0.2862439727765745,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
A01,dense_observations,Dense observations + physics,far-core,phase_deg,16.77697502641081,0.1480052477274558,-16.628969778683356,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
A01,dense_observations,Dense observations + physics,far-wake,rel_L2,0.29161650961542257,0.005595857552085995,-0.2860206520633366,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
A01,dense_observations,Dense observations + physics,far-wake,phase_deg,16.77630989304879,0.14734011436540054,-16.628969778683388,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
A01,dense_observations,Dense observations + physics,near-cylinder,rel_L2,0.2900525660366357,0.06657526127797751,-0.22347730475865818,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
A01,dense_observations,Dense observations + physics,near-cylinder,phase_deg,16.391292836748164,-0.23767694193520655,-16.62896977868337,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
A01,dense_observations,Dense observations + physics,near-wake,rel_L2,0.29038568152191685,0.0070473260759782155,-0.28333835544593866,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
A01,dense_observations,Dense observations + physics,near-wake,phase_deg,16.694120425606854,0.06515064692350976,-16.628969778683345,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
A01,dense_observations,Dense observations + physics,other,rel_L2,0.36630485025393733,0.198100615848264,-0.16820423440567334,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
A01,dense_observations,Dense observations + physics,other,phase_deg,17.96194868900278,1.3329789103194063,-16.628969778683377,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
A01,dense_observations,Dense observations + physics,whole-domain,rel_L2,0.2912330267004978,0.009886067237738888,-0.2813469594627589,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
A01,dense_observations,Dense observations + physics,whole-domain,phase_deg,16.746362918445527,0.11739313976216759,-16.62896977868336,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
A01,pressure_and_velocity_probes_physics,Pressure + velocity probes + physics,far-core,rel_L2,0.373454878564829,0.18885920721439126,-0.18459567135043775,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
A01,pressure_and_velocity_probes_physics,Pressure + velocity probes + physics,far-core,phase_deg,20.37596697286699,3.7469971941836433,-16.62896977868335,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
A01,pressure_and_velocity_probes_physics,Pressure + velocity probes + physics,far-wake,rel_L2,0.3732274387333356,0.19273617839196852,-0.18049126034136706,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
A01,pressure_and_velocity_probes_physics,Pressure + velocity probes + physics,far-wake,phase_deg,20.18064958038144,3.551679801698088,-16.628969778683352,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
A01,pressure_and_velocity_probes_physics,Pressure + velocity probes + physics,near-cylinder,rel_L2,0.3602476635856163,0.31684968637121463,-0.04339797721440164,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
A01,pressure_and_velocity_probes_physics,Pressure + velocity probes + physics,near-cylinder,phase_deg,12.19414034728851,-4.434829431394878,-16.628969778683388,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
A01,pressure_and_velocity_probes_physics,Pressure + velocity probes + physics,near-wake,rel_L2,0.29503354259749254,0.025534348305694746,-0.2694991942917978,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
A01,pressure_and_velocity_probes_physics,Pressure + velocity probes + physics,near-wake,phase_deg,16.97703328821143,0.34806350952804854,-16.62896977868338,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
A01,pressure_and_velocity_probes_physics,Pressure + velocity probes + physics,other,rel_L2,0.8677567507567683,0.6926458902474399,-0.17511086050932834,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
A01,pressure_and_velocity_probes_physics,Pressure + velocity probes + physics,other,phase_deg,34.55507058730325,17.92610080861986,-16.628969778683388,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
A01,pressure_and_velocity_probes_physics,Pressure + velocity probes + physics,whole-domain,rel_L2,0.35058666901840607,0.16282875871939662,-0.18775791029900946,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
A01,pressure_and_velocity_probes_physics,Pressure + velocity probes + physics,whole-domain,phase_deg,18.99737088669457,2.368401108011185,-16.628969778683384,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
A01,pressure_only_physics,Pressure only + physics,far-core,rel_L2,0.9974424410827328,0.9971765558242203,-0.00026588525851256595,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
A01,pressure_only_physics,Pressure only + physics,far-core,phase_deg,25.877405514357235,9.24843573567387,-16.628969778683366,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
A01,pressure_only_physics,Pressure only + physics,far-wake,rel_L2,0.9975692708101321,0.9972479234891308,-0.00032134732100130847,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
A01,pressure_only_physics,Pressure only + physics,far-wake,phase_deg,29.554766401013126,12.92579662232975,-16.628969778683377,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
A01,pressure_only_physics,Pressure only + physics,near-cylinder,rel_L2,0.9109855202529992,0.9406295331124092,0.029644012859409985,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
A01,pressure_only_physics,Pressure only + physics,near-cylinder,phase_deg,-35.322581399189914,-51.951551177873284,-16.62896977868337,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
A01,pressure_only_physics,Pressure only + physics,near-wake,rel_L2,1.0027584617838683,1.001504336694003,-0.0012541250898652212,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
A01,pressure_only_physics,Pressure only + physics,near-wake,phase_deg,107.56324823465667,90.93427845597331,-16.628969778683356,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
A01,pressure_only_physics,Pressure only + physics,other,rel_L2,1.0429656925989714,0.9241842531271137,-0.11878143947185771,CFD coefficient rotated to the absolute-time convention used by the direct ModalPINN mode,recomputed from saved checkpoint; amplitude ratio and correlation unchanged
