method,region,metric_group,quantity,metric,value
pressure_only_physics,near-cylinder,field,u,rel_L2,0.04342290014028549
pressure_only_physics,near-cylinder,field,v,rel_L2,0.14143913984298706
pressure_only_physics,near-cylinder,field,p,rel_L2,0.01867641694843769
pressure_only_physics,near-wake,field,u,rel_L2,0.2727372944355011
pressure_only_physics,near-wake,field,v,rel_L2,1.0366290807724
pressure_only_physics,near-wake,field,p,rel_L2,0.6163440942764282
pressure_only_physics,far-wake,field,u,rel_L2,0.5002196431159973
pressure_only_physics,far-wake,field,v,rel_L2,1.0139986276626587
pressure_only_physics,far-wake,field,p,rel_L2,2.3332183361053467
pressure_only_physics,far-core,field,u,rel_L2,0.5826302766799927
pressure_only_physics,far-core,field,v,rel_L2,1.0038522481918335
pressure_only_physics,far-core,field,p,rel_L2,1.9013025760650635
pressure_only_physics,other,field,u,rel_L2,0.06775574386119843
pressure_only_physics,other,field,v,rel_L2,0.12204265594482422
pressure_only_physics,other,field,p,rel_L2,0.19711746275424957
pressure_only_physics,whole-domain,field,u,rel_L2,0.35252973437309265
pressure_only_physics,whole-domain,field,v,rel_L2,0.8035315275192261
pressure_only_physics,whole-domain,field,p,rel_L2,0.5622267723083496
pressure_only_physics,near-cylinder,v1_mode,v,n,13715
pressure_only_physics,near-cylinder,v1_mode,v,rel_L2,0.9406295331124092
pressure_only_physics,near-cylinder,v1_mode,v,amp_ratio,0.23299564208967985
pressure_only_physics,near-cylinder,v1_mode,v,corr,0.5901849294755541
pressure_only_physics,near-cylinder,v1_mode,v,phase_deg,-51.951551177873284
pressure_only_physics,near-wake,v1_mode,v,n,15248
pressure_only_physics,near-wake,v1_mode,v,rel_L2,1.001504336694003
pressure_only_physics,near-wake,v1_mode,v,amp_ratio,0.0535476974215554
pressure_only_physics,near-wake,v1_mode,v,corr,0.08222242151454592
pressure_only_physics,near-wake,v1_mode,v,phase_deg,90.93427845597331
pressure_only_physics,far-wake,v1_mode,v,n,16393
pressure_only_physics,far-wake,v1_mode,v,rel_L2,0.9972479234891308
pressure_only_physics,far-wake,v1_mode,v,amp_ratio,0.021598274531735864
pressure_only_physics,far-wake,v1_mode,v,corr,0.1416338488100312
pressure_only_physics,far-wake,v1_mode,v,phase_deg,12.92579662232975
pressure_only_physics,far-core,v1_mode,v,n,12460
pressure_only_physics,far-core,v1_mode,v,rel_L2,0.9971765558242203
pressure_only_physics,far-core,v1_mode,v,amp_ratio,0.01894815276825727
pressure_only_physics,far-core,v1_mode,v,corr,0.16035718037970448
pressure_only_physics,far-core,v1_mode,v,phase_deg,9.24843573567387
pressure_only_physics,other,v1_mode,v,n,6298
pressure_only_physics,other,v1_mode,v,rel_L2,0.9241842531271137
pressure_only_physics,other,v1_mode,v,amp_ratio,1.2146865751402014
pressure_only_physics,other,v1_mode,v,corr,0.7087490409532666
pressure_only_physics,other,v1_mode,v,phase_deg,19.66957343150897
pressure_only_physics,whole-domain,v1_mode,v,n,51654
pressure_only_physics,whole-domain,v1_mode,v,rel_L2,0.9979354426488796
pressure_only_physics,whole-domain,v1_mode,v,amp_ratio,0.047024170317109606
pressure_only_physics,whole-domain,v1_mode,v,corr,0.06884213593908395
pressure_only_physics,whole-domain,v1_mode,v,phase_deg,11.866497006933434
pressure_and_velocity_probes_physics,near-cylinder,field,u,rel_L2,0.024427928030490875
pressure_and_velocity_probes_physics,near-cylinder,field,v,rel_L2,0.04838676378130913
pressure_and_velocity_probes_physics,near-cylinder,field,p,rel_L2,0.008180337958037853
pressure_and_velocity_probes_physics,near-wake,field,u,rel_L2,0.015128523111343384
pressure_and_velocity_probes_physics,near-wake,field,v,rel_L2,0.04807698726654053
pressure_and_velocity_probes_physics,near-wake,field,p,rel_L2,0.04742806777358055
pressure_and_velocity_probes_physics,far-wake,field,u,rel_L2,0.07054434716701508
pressure_and_velocity_probes_physics,far-wake,field,v,rel_L2,0.3154568672180176
pressure_and_velocity_probes_physics,far-wake,field,p,rel_L2,0.6365317106246948
pressure_and_velocity_probes_physics,far-core,field,u,rel_L2,0.08218705654144287
pressure_and_velocity_probes_physics,far-core,field,v,rel_L2,0.27826836705207825
pressure_and_velocity_probes_physics,far-core,field,p,rel_L2,0.5939379930496216
pressure_and_velocity_probes_physics,other,field,u,rel_L2,0.02887069620192051
pressure_and_velocity_probes_physics,other,field,v,rel_L2,0.051015645265579224
pressure_and_velocity_probes_physics,other,field,p,rel_L2,0.08834198117256165
pressure_and_velocity_probes_physics,whole-domain,field,u,rel_L2,0.046610429883003235
pressure_and_velocity_probes_physics,whole-domain,field,v,rel_L2,0.20233725011348724
pressure_and_velocity_probes_physics,whole-domain,field,p,rel_L2,0.12847787141799927
pressure_and_velocity_probes_physics,near-cylinder,v1_mode,v,n,13715
