method,sampling,region,metric_group,quantity,metric,value
uniform_collocation,uniform,near-cylinder,field,u,rel_L2,0.04342290014028549
uniform_collocation,uniform,near-cylinder,field,v,rel_L2,0.14143913984298706
uniform_collocation,uniform,near-cylinder,field,p,rel_L2,0.01867641694843769
uniform_collocation,uniform,near-wake,field,u,rel_L2,0.2727372944355011
uniform_collocation,uniform,near-wake,field,v,rel_L2,1.0366290807724
uniform_collocation,uniform,near-wake,field,p,rel_L2,0.6163440942764282
uniform_collocation,uniform,far-wake,field,u,rel_L2,0.5002196431159973
uniform_collocation,uniform,far-wake,field,v,rel_L2,1.0139986276626587
uniform_collocation,uniform,far-wake,field,p,rel_L2,2.3332183361053467
uniform_collocation,uniform,far-core,field,u,rel_L2,0.5826302766799927
uniform_collocation,uniform,far-core,field,v,rel_L2,1.0038522481918335
uniform_collocation,uniform,far-core,field,p,rel_L2,1.9013025760650635
uniform_collocation,uniform,other,field,u,rel_L2,0.06775574386119843
uniform_collocation,uniform,other,field,v,rel_L2,0.12204265594482422
uniform_collocation,uniform,other,field,p,rel_L2,0.19711746275424957
uniform_collocation,uniform,whole-domain,field,u,rel_L2,0.35252973437309265
uniform_collocation,uniform,whole-domain,field,v,rel_L2,0.8035315275192261
uniform_collocation,uniform,whole-domain,field,p,rel_L2,0.5622267723083496
uniform_collocation,uniform,near-cylinder,v1_mode,v,n,13715
uniform_collocation,uniform,near-cylinder,v1_mode,v,rel_L2,0.9406295331124092
uniform_collocation,uniform,near-cylinder,v1_mode,v,amp_ratio,0.23299564208967985
uniform_collocation,uniform,near-cylinder,v1_mode,v,corr,0.5901849294755541
uniform_collocation,uniform,near-cylinder,v1_mode,v,phase_deg,-51.951551177873284
uniform_collocation,uniform,near-wake,v1_mode,v,n,15248
uniform_collocation,uniform,near-wake,v1_mode,v,rel_L2,1.001504336694003
uniform_collocation,uniform,near-wake,v1_mode,v,amp_ratio,0.0535476974215554
uniform_collocation,uniform,near-wake,v1_mode,v,corr,0.08222242151454592
uniform_collocation,uniform,near-wake,v1_mode,v,phase_deg,90.93427845597331
uniform_collocation,uniform,far-wake,v1_mode,v,n,16393
uniform_collocation,uniform,far-wake,v1_mode,v,rel_L2,0.9972479234891308
uniform_collocation,uniform,far-wake,v1_mode,v,amp_ratio,0.021598274531735864
uniform_collocation,uniform,far-wake,v1_mode,v,corr,0.1416338488100312
uniform_collocation,uniform,far-wake,v1_mode,v,phase_deg,12.92579662232975
uniform_collocation,uniform,far-core,v1_mode,v,n,12460
uniform_collocation,uniform,far-core,v1_mode,v,rel_L2,0.9971765558242203
uniform_collocation,uniform,far-core,v1_mode,v,amp_ratio,0.01894815276825727
uniform_collocation,uniform,far-core,v1_mode,v,corr,0.16035718037970448
uniform_collocation,uniform,far-core,v1_mode,v,phase_deg,9.24843573567387
uniform_collocation,uniform,other,v1_mode,v,n,6298
uniform_collocation,uniform,other,v1_mode,v,rel_L2,0.9241842531271137
uniform_collocation,uniform,other,v1_mode,v,amp_ratio,1.2146865751402014
uniform_collocation,uniform,other,v1_mode,v,corr,0.7087490409532666
uniform_collocation,uniform,other,v1_mode,v,phase_deg,19.66957343150897
uniform_collocation,uniform,whole-domain,v1_mode,v,n,51654
uniform_collocation,uniform,whole-domain,v1_mode,v,rel_L2,0.9979354426488796
uniform_collocation,uniform,whole-domain,v1_mode,v,amp_ratio,0.047024170317109606
uniform_collocation,uniform,whole-domain,v1_mode,v,corr,0.06884213593908395
uniform_collocation,uniform,whole-domain,v1_mode,v,phase_deg,11.866497006933434
wake_biased_random_collocation,wake_biased_random,near-cylinder,field,u,rel_L2,0.04212762787938118
wake_biased_random_collocation,wake_biased_random,near-cylinder,field,v,rel_L2,0.06674467027187347
wake_biased_random_collocation,wake_biased_random,near-cylinder,field,p,rel_L2,0.013465750962495804
wake_biased_random_collocation,wake_biased_random,near-wake,field,u,rel_L2,0.276753693819046
wake_biased_random_collocation,wake_biased_random,near-wake,field,v,rel_L2,1.1140542030334473
wake_biased_random_collocation,wake_biased_random,near-wake,field,p,rel_L2,0.6829445362091064
wake_biased_random_collocation,wake_biased_random,far-wake,field,u,rel_L2,0.43516096472740173
wake_biased_random_collocation,wake_biased_random,far-wake,field,v,rel_L2,1.025047779083252
wake_biased_random_collocation,wake_biased_random,far-wake,field,p,rel_L2,2.5165810585021973
wake_biased_random_collocation,wake_biased_random,far-core,field,u,rel_L2,0.5068234205245972
wake_biased_random_collocation,wake_biased_random,far-core,field,v,rel_L2,1.0105485916137695
wake_biased_random_collocation,wake_biased_random,far-core,field,p,rel_L2,1.8453834056854248
wake_biased_random_collocation,wake_biased_random,other,field,u,rel_L2,0.07177814841270447
wake_biased_random_collocation,wake_biased_random,other,field,v,rel_L2,0.32174035906791687
wake_biased_random_collocation,wake_biased_random,other,field,p,rel_L2,0.4121144413948059
wake_biased_random_collocation,wake_biased_random,whole-domain,field,u,rel_L2,0.31924211978912354
wake_biased_random_collocation,wake_biased_random,whole-domain,field,v,rel_L2,0.83311527967453
wake_biased_random_collocation,wake_biased_random,whole-domain,field,p,rel_L2,0.616722583770752
wake_biased_random_collocation,wake_biased_random,near-cylinder,v1_mode,v,n,13715
wake_biased_random_collocation,wake_biased_random,near-cylinder,v1_mode,v,rel_L2,0.4215459636267085
wake_biased_random_collocation,wake_biased_random,near-cylinder,v1_mode,v,amp_ratio,0.7105419185216976
wake_biased_random_collocation,wake_biased_random,near-cylinder,v1_mode,v,corr,0.9353006490752722
wake_biased_random_collocation,wake_biased_random,near-cylinder,v1_mode,v,phase_deg,3.1213260179076907
wake_biased_random_collocation,wake_biased_random,near-wake,v1_mode,v,n,15248
wake_biased_random_collocation,wake_biased_random,near-wake,v1_mode,v,rel_L2,1.1308101933711299
wake_biased_random_collocation,wake_biased_random,near-wake,v1_mode,v,amp_ratio,0.35481178548002096
wake_biased_random_collocation,wake_biased_random,near-wake,v1_mode,v,corr,0.3809066036053885
wake_biased_random_collocation,wake_biased_random,near-wake,v1_mode,v,phase_deg,124.43328464908765
wake_biased_random_collocation,wake_biased_random,far-wake,v1_mode,v,n,16393
wake_biased_random_collocation,wake_biased_random,far-wake,v1_mode,v,rel_L2,1.0307008040564178
wake_biased_random_collocation,wake_biased_random,far-wake,v1_mode,v,amp_ratio,0.34168721757125164
wake_biased_random_collocation,wake_biased_random,far-wake,v1_mode,v,corr,0.07985304680434617
wake_biased_random_collocation,wake_biased_random,far-wake,v1_mode,v,phase_deg,-4.436711929840976
wake_biased_random_collocation,wake_biased_random,far-core,v1_mode,v,n,12460
wake_biased_random_collocation,wake_biased_random,far-core,v1_mode,v,rel_L2,1.016133414138109
wake_biased_random_collocation,wake_biased_random,far-core,v1_mode,v,amp_ratio,0.29751918561969587
wake_biased_random_collocation,wake_biased_random,far-core,v1_mode,v,corr,0.09632718719776641
wake_biased_random_collocation,wake_biased_random,far-core,v1_mode,v,phase_deg,-12.356703595303843
wake_biased_random_collocation,wake_biased_random,other,v1_mode,v,n,6298
wake_biased_random_collocation,wake_biased_random,other,v1_mode,v,rel_L2,8.047135951213212
wake_biased_random_collocation,wake_biased_random,other,v1_mode,v,amp_ratio,8.00798241126144
wake_biased_random_collocation,wake_biased_random,other,v1_mode,v,corr,0.3270271006936868
wake_biased_random_collocation,wake_biased_random,other,v1_mode,v,phase_deg,-85.93392799126732
wake_biased_random_collocation,wake_biased_random,whole-domain,v1_mode,v,n,51654
wake_biased_random_collocation,wake_biased_random,whole-domain,v1_mode,v,rel_L2,1.0658499042947145
wake_biased_random_collocation,wake_biased_random,whole-domain,v1_mode,v,amp_ratio,0.3742567313856845
wake_biased_random_collocation,wake_biased_random,whole-domain,v1_mode,v,corr,0.08939380398089573
wake_biased_random_collocation,wake_biased_random,whole-domain,v1_mode,v,phase_deg,86.54531709915899
wake_biased_grid_collocation,wake_biased_grid,near-cylinder,field,u,rel_L2,0.040269918739795685
wake_biased_grid_collocation,wake_biased_grid,near-cylinder,field,v,rel_L2,0.06681849807500839
wake_biased_grid_collocation,wake_biased_grid,near-cylinder,field,p,rel_L2,0.013863309286534786
wake_biased_grid_collocation,wake_biased_grid,near-wake,field,u,rel_L2,0.2698085904121399
wake_biased_grid_collocation,wake_biased_grid,near-wake,field,v,rel_L2,1.0854411125183105
wake_biased_grid_collocation,wake_biased_grid,near-wake,field,p,rel_L2,0.6471562385559082
wake_biased_grid_collocation,wake_biased_grid,far-wake,field,u,rel_L2,0.41121721267700195
wake_biased_grid_collocation,wake_biased_grid,far-wake,field,v,rel_L2,1.01149582862854
wake_biased_grid_collocation,wake_biased_grid,far-wake,field,p,rel_L2,2.26597261428833
wake_biased_grid_collocation,wake_biased_grid,far-core,field,u,rel_L2,0.47896260023117065
wake_biased_grid_collocation,wake_biased_grid,far-core,field,v,rel_L2,1.0016849040985107
wake_biased_grid_collocation,wake_biased_grid,far-core,field,p,rel_L2,1.690771460533142
wake_biased_grid_collocation,wake_biased_grid,other,field,u,rel_L2,0.06791877746582031
wake_biased_grid_collocation,wake_biased_grid,other,field,v,rel_L2,0.320595383644104
wake_biased_grid_collocation,wake_biased_grid,other,field,p,rel_L2,0.4341524541378021
wake_biased_grid_collocation,wake_biased_grid,whole-domain,field,u,rel_L2,0.3043895959854126
wake_biased_grid_collocation,wake_biased_grid,whole-domain,field,v,rel_L2,0.818276584148407
wake_biased_grid_collocation,wake_biased_grid,whole-domain,field,p,rel_L2,0.567595362663269
wake_biased_grid_collocation,wake_biased_grid,near-cylinder,v1_mode,v,n,13715
