geometry,rho,cap,zero_reachable_frac,truth_reachable_frac,mean_floor_over_mean_truth,median_floor_over_median_truth
square,0.1,0.0,0.0,0.023300712336062845,0.72386261893569,0.8473478667391207
square,0.1,0.01,0.0,0.035217362359363555,0.68740190231329,0.8094340346772076
square,0.1,0.02,0.0008654550296251914,0.08088675853804674,0.6515832769975899,0.7731644638758657
square,0.1,0.03,0.01517874975034951,0.23234138872245522,0.6165747236361069,0.7380898130921586
square,0.1,0.05,0.07283136941615072,0.6134744690766261,0.5503150916868768,0.6653089568753006
square,0.1,0.08,0.15425071566473603,0.8041408694494374,0.4602242040029744,0.5617715656654622
square,0.1,0.12,0.24299314293322682,0.8939484721390054,0.35446261084828334,0.4269572270951383
square,0.2,0.0,0.0,0.2075760601824113,0.6234742987221994,0.7276410479408247
square,0.2,0.01,0.0,0.27641302176952265,0.5880951731004596,0.6908293316398544
square,0.2,0.02,0.0034618201185007656,0.39491378736435656,0.553379872241774,0.6565695328363936
square,0.2,0.03,0.02729512016510219,0.6060848145929033,0.5196496716315063,0.6211596267908379
square,0.2,0.05,0.09453431862059783,0.8236468943479129,0.45642278333601427,0.5509151741787554
square,0.2,0.08,0.18187870314892485,0.8914852539777645,0.3712938029081635,0.4484180170311524
square,0.2,0.12,0.2776779175820518,0.9615871113774049,0.27250443007417513,0.3077897018702209
square,0.25,0.0,0.0,0.31635710005991613,0.5743957997746166,0.6687503880199174
square,0.25,0.01,0.0,0.38599294321283534,0.5395621176464375,0.633384518662154
square,0.25,0.02,0.005858464815924372,0.5597496837760468,0.5054173987257028,0.5980338673782447
square,0.25,0.03,0.03501764196791159,0.7570734305305905,0.47238259161375434,0.5633683205107133
square,0.25,0.05,0.10678383596298516,0.8661207642633646,0.41077785439956777,0.49396626686932676
square,0.25,0.08,0.1983889221756208,0.9296984222089075,0.3282981639148502,0.3874379354993513
square,0.25,0.12,0.29984688103322016,0.9802276812462553,0.2332908738544175,0.2470684241604256
square,0.3,0.0,0.0,0.4151521203648226,0.5260671187472432,0.6101662571444796
square,0.3,0.01,0.0,0.5063577657945543,0.4917843947690531,0.5762646469746049
square,0.3,0.02,0.009986019572598362,0.7152652952533121,0.45823121757587315,0.5406870682788647
square,0.3,0.03,0.04520338193196192,0.8646561480593835,0.42593899690849074,0.5049028919324788
square,0.3,0.05,0.12142999800279608,0.9087277811064509,0.3660421579516493,0.4329986531924081
square,0.3,0.08,0.21742893282737502,0.9597896278543373,0.28636341933356013,0.32629341236465753
square,0.3,0.12,0.32474535650089875,0.9897476865721323,0.1954221662581296,0.1849011413641241
square,0.4,0.0,0.0,0.6183343319352906,0.43169070435792495,0.48863649140664467
square,0.4,0.01,0.00026629385526928966,0.768324345915718,0.39853234700299595,0.45212876377637257
square,0.4,0.02,0.023899873510418747,0.9254377205245989,0.36626319766685145,0.41524359902139674
square,0.4,0.03,0.07003528393582319,0.9447440250316224,0.33562167914244706,0.37835082687371074
square,0.4,0.05,0.1571133746088809,0.9703082351374742,0.27947336809681284,0.3047509436862641
square,0.4,0.08,0.26409693096331804,0.9895479661806804,0.2060087173818224,0.19897843848403773
square,0.4,0.12,0.3913188203182212,1.0,0.12443683828144343,0.0731629658907768
square,0.45,0.0,0.0,0.7163970441382065,0.38566221244637755,0.42320483004940984
square,0.45,0.01,0.0013314692763464484,0.8848944810598496,0.3530803201293909,0.38560537288598334
