region,field,k,mean_abs_prior,net_move_rel,E_prior,E_trained
near-cyl_r<0.75,u,0,0.9841,0.9561,1.9136,0.8587
near-cyl_r<0.75,u,1,0.0048,0.8468,1.0044,0.958
near-cyl_r<0.75,u,2,0.0032,0.815,4.8263,2.3494
near-cyl_r<0.75,u,3,0.0013,0.7471,24.3345,16.4063
near-cyl_r<0.75,v,0,0.4842,0.9879,1.8762,0.9647
near-cyl_r<0.75,v,1,0.0127,0.843,1.5358,1.0236
near-cyl_r<0.75,v,2,0.0028,0.7252,2.1266,1.2269
near-cyl_r<0.75,v,3,0.0028,0.7663,33.8844,17.1932
near-wake_0<x<3,u,0,0.8782,0.4196,0.3232,0.4068
near-wake_0<x<3,u,1,0.0358,0.2342,0.9544,0.9217
near-wake_0<x<3,u,2,0.0231,0.1598,1.533,1.5675
near-wake_0<x<3,u,3,0.0067,0.2467,2.0172,2.0142
near-wake_0<x<3,v,0,0.0646,0.9329,1.5632,0.7509
near-wake_0<x<3,v,1,0.0951,0.4173,0.8384,0.6206
near-wake_0<x<3,v,2,0.0314,0.0867,2.2611,2.1853
near-wake_0<x<3,v,3,0.0198,0.13,5.2001,5.0862
far-wake_x>3,u,0,0.8418,0.1787,0.0781,0.1477
far-wake_x>3,u,1,0.0486,0.0953,0.6273,0.6408
far-wake_x>3,u,2,0.0209,0.0863,0.6446,0.6489
far-wake_x>3,u,3,0.004,0.2109,1.0445,1.0447
far-wake_x>3,v,0,0.0053,2.6319,0.8861,0.5586
far-wake_x>3,v,1,0.1293,0.1231,0.3164,0.3587
far-wake_x>3,v,2,0.0325,0.048,0.6772,0.6932
far-wake_x>3,v,3,0.0163,0.0645,0.7993,0.8002
