method,region,metric_group,quantity,metric,value
pressure_only_physics,near-cylinder,field,u,rel_L2,0.04342290014028549
pressure_only_physics,near-cylinder,field,v,rel_L2,0.14143913984298706
pressure_only_physics,near-cylinder,field,p,rel_L2,0.01867641694843769
pressure_only_physics,near-wake,field,u,rel_L2,0.2727372944355011
pressure_only_physics,near-wake,field,v,rel_L2,1.0366290807724
pressure_only_physics,near-wake,field,p,rel_L2,0.6163440942764282
pressure_only_physics,far-wake,field,u,rel_L2,0.5002196431159973
pressure_only_physics,far-wake,field,v,rel_L2,1.0139986276626587
pressure_only_physics,far-wake,field,p,rel_L2,2.3332183361053467
pressure_only_physics,far-core,field,u,rel_L2,0.5826302766799927
pressure_only_physics,far-core,field,v,rel_L2,1.0038522481918335
pressure_only_physics,far-core,field,p,rel_L2,1.9013025760650635
pressure_only_physics,other,field,u,rel_L2,0.06775574386119843
pressure_only_physics,other,field,v,rel_L2,0.12204265594482422
pressure_only_physics,other,field,p,rel_L2,0.19711746275424957
pressure_only_physics,whole-domain,field,u,rel_L2,0.35252973437309265
pressure_only_physics,whole-domain,field,v,rel_L2,0.8035315275192261
pressure_only_physics,whole-domain,field,p,rel_L2,0.5622267723083496
pressure_only_physics,near-cylinder,v1_mode,v,n,13715
pressure_only_physics,near-cylinder,v1_mode,v,rel_L2,0.9109855202529975
pressure_only_physics,near-cylinder,v1_mode,v,amp_ratio,0.2329956420896799
pressure_only_physics,near-cylinder,v1_mode,v,corr,0.5901849294755548
pressure_only_physics,near-cylinder,v1_mode,v,phase_deg,-35.322581399189
pressure_only_physics,near-wake,v1_mode,v,n,15248
pressure_only_physics,near-wake,v1_mode,v,rel_L2,1.002758461783868
pressure_only_physics,near-wake,v1_mode,v,amp_ratio,0.05354769742155542
pressure_only_physics,near-wake,v1_mode,v,corr,0.08222242151454576
pressure_only_physics,near-wake,v1_mode,v,phase_deg,107.56324823465752
pressure_only_physics,far-wake,v1_mode,v,n,16393
pressure_only_physics,far-wake,v1_mode,v,rel_L2,0.9975692708101322
pressure_only_physics,far-wake,v1_mode,v,amp_ratio,0.021598274531735875
pressure_only_physics,far-wake,v1_mode,v,corr,0.1416338488100317
pressure_only_physics,far-wake,v1_mode,v,phase_deg,29.554766401013815
pressure_only_physics,far-core,v1_mode,v,n,12460
pressure_only_physics,far-core,v1_mode,v,rel_L2,0.997442441082733
pressure_only_physics,far-core,v1_mode,v,amp_ratio,0.018948152768257277
pressure_only_physics,far-core,v1_mode,v,corr,0.16035718037970534
pressure_only_physics,far-core,v1_mode,v,phase_deg,25.877405514357914
pressure_only_physics,other,v1_mode,v,n,6298
pressure_only_physics,other,v1_mode,v,rel_L2,1.0429656925989803
pressure_only_physics,other,v1_mode,v,amp_ratio,1.214686575140202
pressure_only_physics,other,v1_mode,v,corr,0.7087490409532666
pressure_only_physics,other,v1_mode,v,phase_deg,36.298543210193266
pressure_only_physics,whole-domain,v1_mode,v,n,51654
pressure_only_physics,whole-domain,v1_mode,v,rel_L2,0.9982590529322467
pressure_only_physics,whole-domain,v1_mode,v,amp_ratio,0.047024170317109565
pressure_only_physics,whole-domain,v1_mode,v,corr,0.06884213593908428
pressure_only_physics,whole-domain,v1_mode,v,phase_deg,28.49546678561774
pressure_and_velocity_probes_physics,near-cylinder,field,u,rel_L2,0.024427928030490875
pressure_and_velocity_probes_physics,near-cylinder,field,v,rel_L2,0.04838676378130913
pressure_and_velocity_probes_physics,near-cylinder,field,p,rel_L2,0.008180337958037853
pressure_and_velocity_probes_physics,near-wake,field,u,rel_L2,0.015128523111343384
pressure_and_velocity_probes_physics,near-wake,field,v,rel_L2,0.04807698726654053
pressure_and_velocity_probes_physics,near-wake,field,p,rel_L2,0.04742806777358055
pressure_and_velocity_probes_physics,far-wake,field,u,rel_L2,0.07054434716701508
pressure_and_velocity_probes_physics,far-wake,field,v,rel_L2,0.3154568672180176
pressure_and_velocity_probes_physics,far-wake,field,p,rel_L2,0.6365317106246948
pressure_and_velocity_probes_physics,far-core,field,u,rel_L2,0.08218705654144287
pressure_and_velocity_probes_physics,far-core,field,v,rel_L2,0.27826836705207825
pressure_and_velocity_probes_physics,far-core,field,p,rel_L2,0.5939379930496216
pressure_and_velocity_probes_physics,other,field,u,rel_L2,0.02887069620192051
pressure_and_velocity_probes_physics,other,field,v,rel_L2,0.051015645265579224
pressure_and_velocity_probes_physics,other,field,p,rel_L2,0.08834198117256165
pressure_and_velocity_probes_physics,whole-domain,field,u,rel_L2,0.046610429883003235
pressure_and_velocity_probes_physics,whole-domain,field,v,rel_L2,0.20233725011348724
pressure_and_velocity_probes_physics,whole-domain,field,p,rel_L2,0.12847787141799927
pressure_and_velocity_probes_physics,near-cylinder,v1_mode,v,n,13715
