method,ntaps,region,metric_group,quantity,metric,value
pressure_only_physics_8_taps,8,near-cylinder,field,u,rel_L2,0.06901976466178894
pressure_only_physics_8_taps,8,near-cylinder,field,v,rel_L2,0.14286431670188904
pressure_only_physics_8_taps,8,near-cylinder,field,p,rel_L2,0.08502314984798431
pressure_only_physics_8_taps,8,near-wake,field,u,rel_L2,0.29225000739097595
pressure_only_physics_8_taps,8,near-wake,field,v,rel_L2,1.0818753242492676
pressure_only_physics_8_taps,8,near-wake,field,p,rel_L2,0.6500864028930664
pressure_only_physics_8_taps,8,far-wake,field,u,rel_L2,0.5480369329452515
pressure_only_physics_8_taps,8,far-wake,field,v,rel_L2,1.0355051755905151
pressure_only_physics_8_taps,8,far-wake,field,p,rel_L2,2.504743814468384
pressure_only_physics_8_taps,8,far-core,field,u,rel_L2,0.6313831210136414
pressure_only_physics_8_taps,8,far-core,field,v,rel_L2,1.0138248205184937
pressure_only_physics_8_taps,8,far-core,field,p,rel_L2,2.0009260177612305
pressure_only_physics_8_taps,8,other,field,u,rel_L2,0.07508361339569092
pressure_only_physics_8_taps,8,other,field,v,rel_L2,0.17537271976470947
pressure_only_physics_8_taps,8,other,field,p,rel_L2,0.30188801884651184
pressure_only_physics_8_taps,8,whole-domain,field,u,rel_L2,0.38466066122055054
pressure_only_physics_8_taps,8,whole-domain,field,v,rel_L2,0.8278552293777466
pressure_only_physics_8_taps,8,whole-domain,field,p,rel_L2,0.605472981929779
pressure_only_physics_8_taps,8,near-cylinder,v1_mode,v,n,13715
pressure_only_physics_8_taps,8,near-cylinder,v1_mode,v,rel_L2,0.770874558696153
pressure_only_physics_8_taps,8,near-cylinder,v1_mode,v,amp_ratio,0.3066118548942568
pressure_only_physics_8_taps,8,near-cylinder,v1_mode,v,corr,0.820138431879499
pressure_only_physics_8_taps,8,near-cylinder,v1_mode,v,phase_deg,-6.4313990968371115
pressure_only_physics_8_taps,8,near-wake,v1_mode,v,n,15248
pressure_only_physics_8_taps,8,near-wake,v1_mode,v,rel_L2,1.0444173748219172
pressure_only_physics_8_taps,8,near-wake,v1_mode,v,amp_ratio,0.13122838476609108
pressure_only_physics_8_taps,8,near-wake,v1_mode,v,corr,0.3462010470495233
pressure_only_physics_8_taps,8,near-wake,v1_mode,v,phase_deg,144.08291082625166
pressure_only_physics_8_taps,8,far-wake,v1_mode,v,n,16393
pressure_only_physics_8_taps,8,far-wake,v1_mode,v,rel_L2,0.9928936131368976
pressure_only_physics_8_taps,8,far-wake,v1_mode,v,amp_ratio,0.08572913251368051
pressure_only_physics_8_taps,8,far-wake,v1_mode,v,corr,0.13683469320995115
pressure_only_physics_8_taps,8,far-wake,v1_mode,v,phase_deg,-23.52321271593309
pressure_only_physics_8_taps,8,far-core,v1_mode,v,n,12460
pressure_only_physics_8_taps,8,far-core,v1_mode,v,rel_L2,0.9922809120688576
pressure_only_physics_8_taps,8,far-core,v1_mode,v,amp_ratio,0.07589276873458732
pressure_only_physics_8_taps,8,far-core,v1_mode,v,corr,0.1560560966010383
pressure_only_physics_8_taps,8,far-core,v1_mode,v,phase_deg,-26.82374880807862
pressure_only_physics_8_taps,8,other,v1_mode,v,n,6298
pressure_only_physics_8_taps,8,other,v1_mode,v,rel_L2,2.5732646628964906
pressure_only_physics_8_taps,8,other,v1_mode,v,amp_ratio,2.548801810105761
pressure_only_physics_8_taps,8,other,v1_mode,v,corr,0.2463796818175955
pressure_only_physics_8_taps,8,other,v1_mode,v,phase_deg,-45.85737285761865
pressure_only_physics_8_taps,8,whole-domain,v1_mode,v,n,51654
pressure_only_physics_8_taps,8,whole-domain,v1_mode,v,rel_L2,1.007830545282121
pressure_only_physics_8_taps,8,whole-domain,v1_mode,v,amp_ratio,0.11433658673053135
pressure_only_physics_8_taps,8,whole-domain,v1_mode,v,corr,0.04344600294789235
pressure_only_physics_8_taps,8,whole-domain,v1_mode,v,phase_deg,105.46742715855312
pressure_only_physics_16_taps,16,near-cylinder,field,u,rel_L2,0.053224727511405945
pressure_only_physics_16_taps,16,near-cylinder,field,v,rel_L2,0.11401001363992691
pressure_only_physics_16_taps,16,near-cylinder,field,p,rel_L2,0.01895841769874096
pressure_only_physics_16_taps,16,near-wake,field,u,rel_L2,0.2949351966381073
pressure_only_physics_16_taps,16,near-wake,field,v,rel_L2,1.1257730722427368
pressure_only_physics_16_taps,16,near-wake,field,p,rel_L2,0.6854112148284912
pressure_only_physics_16_taps,16,far-wake,field,u,rel_L2,0.5786994099617004
pressure_only_physics_16_taps,16,far-wake,field,v,rel_L2,1.0503432750701904
pressure_only_physics_16_taps,16,far-wake,field,p,rel_L2,2.7731873989105225
pressure_only_physics_16_taps,16,far-core,field,u,rel_L2,0.6747479438781738
pressure_only_physics_16_taps,16,far-core,field,v,rel_L2,1.0232127904891968
pressure_only_physics_16_taps,16,far-core,field,p,rel_L2,2.2428393363952637
pressure_only_physics_16_taps,16,other,field,u,rel_L2,0.06217988580465317
pressure_only_physics_16_taps,16,other,field,v,rel_L2,0.1882726401090622
pressure_only_physics_16_taps,16,other,field,p,rel_L2,0.345451682806015
pressure_only_physics_16_taps,16,whole-domain,field,u,rel_L2,0.40163329243659973
pressure_only_physics_16_taps,16,whole-domain,field,v,rel_L2,0.8465421199798584
pressure_only_physics_16_taps,16,whole-domain,field,p,rel_L2,0.6563698649406433
pressure_only_physics_16_taps,16,near-cylinder,v1_mode,v,n,13715
pressure_only_physics_16_taps,16,near-cylinder,v1_mode,v,rel_L2,0.7088253723176763
pressure_only_physics_16_taps,16,near-cylinder,v1_mode,v,amp_ratio,0.37231059009599216
pressure_only_physics_16_taps,16,near-cylinder,v1_mode,v,corr,0.8572082040636148
pressure_only_physics_16_taps,16,near-cylinder,v1_mode,v,phase_deg,4.664014512847771
pressure_only_physics_16_taps,16,near-wake,v1_mode,v,n,15248
pressure_only_physics_16_taps,16,near-wake,v1_mode,v,rel_L2,1.0595320127381642
pressure_only_physics_16_taps,16,near-wake,v1_mode,v,amp_ratio,0.16826164604830984
pressure_only_physics_16_taps,16,near-wake,v1_mode,v,corr,0.36408852607231523
pressure_only_physics_16_taps,16,near-wake,v1_mode,v,phase_deg,140.31902767891327
pressure_only_physics_16_taps,16,far-wake,v1_mode,v,n,16393
pressure_only_physics_16_taps,16,far-wake,v1_mode,v,rel_L2,0.993534721472441
pressure_only_physics_16_taps,16,far-wake,v1_mode,v,amp_ratio,0.11138574296058376
pressure_only_physics_16_taps,16,far-wake,v1_mode,v,corr,0.11988853283296688
pressure_only_physics_16_taps,16,far-wake,v1_mode,v,phase_deg,-18.715457983500176
pressure_only_physics_16_taps,16,far-core,v1_mode,v,n,12460
pressure_only_physics_16_taps,16,far-core,v1_mode,v,rel_L2,0.9923024092308341
pressure_only_physics_16_taps,16,far-core,v1_mode,v,amp_ratio,0.09844119183470144
pressure_only_physics_16_taps,16,far-core,v1_mode,v,corr,0.13764491331642495
pressure_only_physics_16_taps,16,far-core,v1_mode,v,phase_deg,-22.557431678229662
pressure_only_physics_16_taps,16,other,v1_mode,v,n,6298
pressure_only_physics_16_taps,16,other,v1_mode,v,rel_L2,3.489264177980177
pressure_only_physics_16_taps,16,other,v1_mode,v,amp_ratio,3.4921813271403224
pressure_only_physics_16_taps,16,other,v1_mode,v,corr,0.26994844949577573
pressure_only_physics_16_taps,16,other,v1_mode,v,phase_deg,-57.23543800568779
pressure_only_physics_16_taps,16,whole-domain,v1_mode,v,n,51654
pressure_only_physics_16_taps,16,whole-domain,v1_mode,v,rel_L2,1.0133620664521357
pressure_only_physics_16_taps,16,whole-domain,v1_mode,v,amp_ratio,0.14799989297918
pressure_only_physics_16_taps,16,whole-domain,v1_mode,v,corr,0.06647303979127224
pressure_only_physics_16_taps,16,whole-domain,v1_mode,v,phase_deg,104.71736128331936
pressure_only_physics_32_taps,32,near-cylinder,field,u,rel_L2,0.04342290014028549
pressure_only_physics_32_taps,32,near-cylinder,field,v,rel_L2,0.14143913984298706
pressure_only_physics_32_taps,32,near-cylinder,field,p,rel_L2,0.01867641694843769
pressure_only_physics_32_taps,32,near-wake,field,u,rel_L2,0.2727372944355011
pressure_only_physics_32_taps,32,near-wake,field,v,rel_L2,1.0366290807724
pressure_only_physics_32_taps,32,near-wake,field,p,rel_L2,0.6163440942764282
pressure_only_physics_32_taps,32,far-wake,field,u,rel_L2,0.5002196431159973
pressure_only_physics_32_taps,32,far-wake,field,v,rel_L2,1.0139986276626587
pressure_only_physics_32_taps,32,far-wake,field,p,rel_L2,2.3332183361053467
pressure_only_physics_32_taps,32,far-core,field,u,rel_L2,0.5826302766799927
pressure_only_physics_32_taps,32,far-core,field,v,rel_L2,1.0038522481918335
pressure_only_physics_32_taps,32,far-core,field,p,rel_L2,1.9013025760650635
pressure_only_physics_32_taps,32,other,field,u,rel_L2,0.06775574386119843
pressure_only_physics_32_taps,32,other,field,v,rel_L2,0.12204265594482422
pressure_only_physics_32_taps,32,other,field,p,rel_L2,0.19711746275424957
pressure_only_physics_32_taps,32,whole-domain,field,u,rel_L2,0.35252973437309265
pressure_only_physics_32_taps,32,whole-domain,field,v,rel_L2,0.8035315275192261
pressure_only_physics_32_taps,32,whole-domain,field,p,rel_L2,0.5622267723083496
pressure_only_physics_32_taps,32,near-cylinder,v1_mode,v,n,13715
pressure_only_physics_32_taps,32,near-cylinder,v1_mode,v,rel_L2,0.9109855202529975
pressure_only_physics_32_taps,32,near-cylinder,v1_mode,v,amp_ratio,0.2329956420896799
pressure_only_physics_32_taps,32,near-cylinder,v1_mode,v,corr,0.5901849294755548
pressure_only_physics_32_taps,32,near-cylinder,v1_mode,v,phase_deg,-35.322581399189
pressure_only_physics_32_taps,32,near-wake,v1_mode,v,n,15248
pressure_only_physics_32_taps,32,near-wake,v1_mode,v,rel_L2,1.002758461783868
pressure_only_physics_32_taps,32,near-wake,v1_mode,v,amp_ratio,0.05354769742155542
pressure_only_physics_32_taps,32,near-wake,v1_mode,v,corr,0.08222242151454576
pressure_only_physics_32_taps,32,near-wake,v1_mode,v,phase_deg,107.56324823465752
pressure_only_physics_32_taps,32,far-wake,v1_mode,v,n,16393
pressure_only_physics_32_taps,32,far-wake,v1_mode,v,rel_L2,0.9975692708101322
pressure_only_physics_32_taps,32,far-wake,v1_mode,v,amp_ratio,0.021598274531735875
pressure_only_physics_32_taps,32,far-wake,v1_mode,v,corr,0.1416338488100317
pressure_only_physics_32_taps,32,far-wake,v1_mode,v,phase_deg,29.554766401013815
pressure_only_physics_32_taps,32,far-core,v1_mode,v,n,12460
pressure_only_physics_32_taps,32,far-core,v1_mode,v,rel_L2,0.997442441082733
pressure_only_physics_32_taps,32,far-core,v1_mode,v,amp_ratio,0.018948152768257277
pressure_only_physics_32_taps,32,far-core,v1_mode,v,corr,0.16035718037970534
pressure_only_physics_32_taps,32,far-core,v1_mode,v,phase_deg,25.877405514357914
pressure_only_physics_32_taps,32,other,v1_mode,v,n,6298
pressure_only_physics_32_taps,32,other,v1_mode,v,rel_L2,1.0429656925989803
pressure_only_physics_32_taps,32,other,v1_mode,v,amp_ratio,1.214686575140202
pressure_only_physics_32_taps,32,other,v1_mode,v,corr,0.7087490409532666
pressure_only_physics_32_taps,32,other,v1_mode,v,phase_deg,36.298543210193266
pressure_only_physics_32_taps,32,whole-domain,v1_mode,v,n,51654
pressure_only_physics_32_taps,32,whole-domain,v1_mode,v,rel_L2,0.9982590529322467
pressure_only_physics_32_taps,32,whole-domain,v1_mode,v,amp_ratio,0.047024170317109565
pressure_only_physics_32_taps,32,whole-domain,v1_mode,v,corr,0.06884213593908428
pressure_only_physics_32_taps,32,whole-domain,v1_mode,v,phase_deg,28.49546678561774
