method,region,metric_group,quantity,metric,value
prior_only,near-cylinder,field,u,rel_L2,1.9486876976018852
prior_only,near-cylinder,field,v,rel_L2,1.8983457550148255
prior_only,near-cylinder,field,p,rel_L2,0.7751385714345209
prior_only,near-wake,field,u,rel_L2,0.48576400421773874
prior_only,near-wake,field,v,rel_L2,1.0054605676179813
prior_only,near-wake,field,p,rel_L2,0.907807119954012
prior_only,far-wake,field,u,rel_L2,0.23653433101428006
prior_only,far-wake,field,v,rel_L2,0.4317309112623096
prior_only,far-wake,field,p,rel_L2,0.8957094869309332
prior_only,far-core,field,u,rel_L2,0.2839371902643356
prior_only,far-core,field,v,rel_L2,0.4302781144963217
prior_only,far-core,field,p,rel_L2,0.8953915810318316
prior_only,other,field,u,rel_L2,0.09759814325699187
prior_only,other,field,v,rel_L2,0.42662660586870743
prior_only,other,field,p,rel_L2,0.9726505721288202
prior_only,whole-domain,field,u,rel_L2,0.6537600200997299
prior_only,whole-domain,field,v,rel_L2,1.1697559567743487
prior_only,whole-domain,field,p,rel_L2,0.8290652333728338
prior_only,near-cylinder,v1_mode,v,rel_L2,1.3722102664173697
prior_only,near-cylinder,v1_mode,v,amp_ratio,0.6730225797742619
prior_only,near-cylinder,v1_mode,v,corr,0.7216854001883624
prior_only,near-cylinder,v1_mode,v,phase_deg,-116.27321935736977
prior_only,near-wake,v1_mode,v,rel_L2,0.695822352300673
prior_only,near-wake,v1_mode,v,amp_ratio,0.9110437627211128
prior_only,near-wake,v1_mode,v,corr,0.8422940500114438
prior_only,near-wake,v1_mode,v,phase_deg,-28.727476457132926
prior_only,far-wake,v1_mode,v,rel_L2,0.2850304431005107
prior_only,far-wake,v1_mode,v,amp_ratio,0.8081713037174078
prior_only,far-wake,v1_mode,v,corr,0.9767875402168485
prior_only,far-wake,v1_mode,v,phase_deg,5.368264172608852
prior_only,far-core,v1_mode,v,rel_L2,0.2819287316838365
prior_only,far-core,v1_mode,v,amp_ratio,0.8082260117271959
prior_only,far-core,v1_mode,v,corr,0.9775460502706388
prior_only,far-core,v1_mode,v,phase_deg,5.162869643178225
prior_only,other,v1_mode,v,rel_L2,0.8636736444196899
prior_only,other,v1_mode,v,amp_ratio,0.35999023258848767
prior_only,other,v1_mode,v,corr,0.5559807284041957
prior_only,other,v1_mode,v,phase_deg,16.57552494628528
prior_only,whole-domain,v1_mode,v,rel_L2,0.47846793335290905
prior_only,whole-domain,v1_mode,v,amp_ratio,0.8404211786122601
prior_only,whole-domain,v1_mode,v,corr,0.8830273766725741
prior_only,whole-domain,v1_mode,v,phase_deg,-5.5082598770587605
arm1_baseline,near-cylinder,field,u,rel_L2,0.04342290014028549
arm1_baseline,near-cylinder,field,v,rel_L2,0.14143913984298706
arm1_baseline,near-cylinder,field,p,rel_L2,0.01867641694843769
arm1_baseline,near-wake,field,u,rel_L2,0.2727372944355011
arm1_baseline,near-wake,field,v,rel_L2,1.0366290807724
arm1_baseline,near-wake,field,p,rel_L2,0.6163440942764282
arm1_baseline,far-wake,field,u,rel_L2,0.5002196431159973
arm1_baseline,far-wake,field,v,rel_L2,1.0139986276626587
arm1_baseline,far-wake,field,p,rel_L2,2.3332183361053467
arm1_baseline,far-core,field,u,rel_L2,0.5826302766799927
arm1_baseline,far-core,field,v,rel_L2,1.0038522481918335
arm1_baseline,far-core,field,p,rel_L2,1.9013025760650635
arm1_baseline,other,field,u,rel_L2,0.06775574386119843
arm1_baseline,other,field,v,rel_L2,0.12204265594482422
arm1_baseline,other,field,p,rel_L2,0.19711746275424957
arm1_baseline,whole-domain,field,u,rel_L2,0.35252973437309265
arm1_baseline,whole-domain,field,v,rel_L2,0.8035315275192261
arm1_baseline,whole-domain,field,p,rel_L2,0.5622267723083496
arm1_baseline,near-cylinder,v1_mode,v,rel_L2,0.9109855202529975
arm1_baseline,near-cylinder,v1_mode,v,amp_ratio,0.2329956420896799
arm1_baseline,near-cylinder,v1_mode,v,corr,0.5901849294755548
arm1_baseline,near-cylinder,v1_mode,v,phase_deg,-35.322581399189
arm1_baseline,near-wake,v1_mode,v,rel_L2,1.002758461783868
arm1_baseline,near-wake,v1_mode,v,amp_ratio,0.05354769742155542
arm1_baseline,near-wake,v1_mode,v,corr,0.08222242151454576
arm1_baseline,near-wake,v1_mode,v,phase_deg,107.56324823465752
arm1_baseline,far-wake,v1_mode,v,rel_L2,0.9975692708101322
arm1_baseline,far-wake,v1_mode,v,amp_ratio,0.021598274531735875
arm1_baseline,far-wake,v1_mode,v,corr,0.1416338488100317
arm1_baseline,far-wake,v1_mode,v,phase_deg,29.554766401013815
arm1_baseline,far-core,v1_mode,v,rel_L2,0.997442441082733
arm1_baseline,far-core,v1_mode,v,amp_ratio,0.018948152768257277
arm1_baseline,far-core,v1_mode,v,corr,0.16035718037970534
arm1_baseline,far-core,v1_mode,v,phase_deg,25.877405514357914
arm1_baseline,other,v1_mode,v,rel_L2,1.0429656925989803
arm1_baseline,other,v1_mode,v,amp_ratio,1.214686575140202
arm1_baseline,other,v1_mode,v,corr,0.7087490409532666
arm1_baseline,other,v1_mode,v,phase_deg,36.298543210193266
arm1_baseline,whole-domain,v1_mode,v,rel_L2,0.9982590529322467
arm1_baseline,whole-domain,v1_mode,v,amp_ratio,0.047024170317109565
arm1_baseline,whole-domain,v1_mode,v,corr,0.06884213593908428
arm1_baseline,whole-domain,v1_mode,v,phase_deg,28.49546678561774
arm15_v1_radial_trust,near-cylinder,field,u,rel_L2,0.0592205636203289
arm15_v1_radial_trust,near-cylinder,field,v,rel_L2,0.0647122859954834
arm15_v1_radial_trust,near-cylinder,field,p,rel_L2,0.017133427783846855
arm15_v1_radial_trust,near-wake,field,u,rel_L2,0.16433614492416382
arm15_v1_radial_trust,near-wake,field,v,rel_L2,0.4852791726589203
arm15_v1_radial_trust,near-wake,field,p,rel_L2,0.3067087233066559
arm15_v1_radial_trust,far-wake,field,u,rel_L2,0.18780824542045593
arm15_v1_radial_trust,far-wake,field,v,rel_L2,0.4490889012813568
arm15_v1_radial_trust,far-wake,field,p,rel_L2,1.5653620958328247
arm15_v1_radial_trust,far-core,field,u,rel_L2,0.2100825160741806
arm15_v1_radial_trust,far-core,field,v,rel_L2,0.3913930058479309
arm15_v1_radial_trust,far-core,field,p,rel_L2,1.276977300643921
arm15_v1_radial_trust,other,field,u,rel_L2,0.11128376424312592
arm15_v1_radial_trust,other,field,v,rel_L2,0.4498370885848999
arm15_v1_radial_trust,other,field,p,rel_L2,0.680185079574585
arm15_v1_radial_trust,whole-domain,field,u,rel_L2,0.16075393557548523
arm15_v1_radial_trust,whole-domain,field,v,rel_L2,0.3884117901325226
arm15_v1_radial_trust,whole-domain,field,p,rel_L2,0.37669020891189575
arm15_v1_radial_trust,near-cylinder,v1_mode,v,rel_L2,0.5132904835173822
arm15_v1_radial_trust,near-cylinder,v1_mode,v,amp_ratio,0.8003018055450686
arm15_v1_radial_trust,near-cylinder,v1_mode,v,corr,0.9302835550571195
arm15_v1_radial_trust,near-cylinder,v1_mode,v,phase_deg,22.364354193098066
arm15_v1_radial_trust,near-wake,v1_mode,v,rel_L2,0.44070619498280006
arm15_v1_radial_trust,near-wake,v1_mode,v,amp_ratio,0.8580118281696182
arm15_v1_radial_trust,near-wake,v1_mode,v,corr,0.9267508026289285
arm15_v1_radial_trust,near-wake,v1_mode,v,phase_deg,14.166488718867445
arm15_v1_radial_trust,far-wake,v1_mode,v,rel_L2,0.2896911996010357
arm15_v1_radial_trust,far-wake,v1_mode,v,amp_ratio,0.8405636591923414
arm15_v1_radial_trust,far-wake,v1_mode,v,corr,0.9750197121464108
arm15_v1_radial_trust,far-wake,v1_mode,v,phase_deg,8.137980951574173
arm15_v1_radial_trust,far-core,v1_mode,v,rel_L2,0.28505577663469245
arm15_v1_radial_trust,far-core,v1_mode,v,amp_ratio,0.8387517940246543
arm15_v1_radial_trust,far-core,v1_mode,v,corr,0.9765788676166033
arm15_v1_radial_trust,far-core,v1_mode,v,phase_deg,8.00597546735443
arm15_v1_radial_trust,other,v1_mode,v,rel_L2,11.220070420706785
arm15_v1_radial_trust,other,v1_mode,v,amp_ratio,11.489159861210812
arm15_v1_radial_trust,other,v1_mode,v,corr,0.35065447214748047
arm15_v1_radial_trust,other,v1_mode,v,phase_deg,-28.052853985750083
arm15_v1_radial_trust,whole-domain,v1_mode,v,rel_L2,0.3899240721288184
arm15_v1_radial_trust,whole-domain,v1_mode,v,amp_ratio,0.864772839549277
arm15_v1_radial_trust,whole-domain,v1_mode,v,corr,0.937195309819395
arm15_v1_radial_trust,whole-domain,v1_mode,v,phase_deg,10.102353702792673
