analysis_id,arm_id,section,metric,region,value,unit,reference,value_type,source,status,notes
A04,karman_prior_only,prior_attribution,field.u.rel_L2,near-cylinder,1.9486876976018852,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,karman_prior_only,prior_attribution,field.v.rel_L2,near-cylinder,1.8983457550148255,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,karman_prior_only,prior_attribution,field.p.rel_L2,near-cylinder,0.7751385714345209,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,karman_prior_only,prior_attribution,field.u.rel_L2,near-wake,0.48576400421773874,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,karman_prior_only,prior_attribution,field.v.rel_L2,near-wake,1.0054605676179813,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,karman_prior_only,prior_attribution,field.p.rel_L2,near-wake,0.907807119954012,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,karman_prior_only,prior_attribution,field.u.rel_L2,far-wake,0.23653433101428006,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,karman_prior_only,prior_attribution,field.v.rel_L2,far-wake,0.4317309112623096,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,karman_prior_only,prior_attribution,field.p.rel_L2,far-wake,0.8957094869309332,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,karman_prior_only,prior_attribution,field.u.rel_L2,far-core,0.2839371902643356,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,karman_prior_only,prior_attribution,field.v.rel_L2,far-core,0.4302781144963217,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,karman_prior_only,prior_attribution,field.p.rel_L2,far-core,0.8953915810318316,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,karman_prior_only,prior_attribution,field.u.rel_L2,other,0.09759814325699187,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,karman_prior_only,prior_attribution,field.v.rel_L2,other,0.42662660586870743,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,karman_prior_only,prior_attribution,field.p.rel_L2,other,0.9726505721288202,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
