quantity,original_01_baseline_physics_only,rerun_baseline_physics_only_K3_matched,ratio_rerun_over_original,source
lbfgs_evals,5503,7173,1.3035,run_record.json
lbfgs_target_evals,,35000,,run_record.json
lbfgs_cycles,1,33,33.0000,run_record.json
lbfgs_adam_kicks,0,32,,run_record.json
lbfgs_stop_reason,REL_REDUCTION_OF_F after failed line search,wall_clock_cap_reached,,run_record.json / train_log.txt
wall_clock_s,32433.5,32420.1,0.9996,run_record.json
total_loss,0.00029651966178789735,0.0005249601090326905,1.7704,training_loss_summary.json
physics_loss,0.0002851361932698637,0.0005034327623434365,1.7656,training_loss_summary.json
pressure_tap_loss,1.1383463970560115e-05,2.1527341232285835e-05,1.8911,training_loss_summary.json
best_training_loss,,0.0005011872,,run_record.json
cold_start,True,True,,run_record.json
warm_started,False,False,,training_loss_summary.json
int_sampling,uniform,uniform,,training_loss_summary.json
v1.near-cylinder.rel_L2,0.9109867766833559,0.9016043001889905,0.9897,arm_summary.json
v1.near-cylinder.amp_ratio,0.23297214707193703,0.23989174214502607,1.0297,arm_summary.json
v1.near-cylinder.corr,0.5902256375213265,0.586384382724832,0.9935,arm_summary.json
v1.near-wake.rel_L2,1.0027584646119267,1.0055509726746963,1.0028,arm_summary.json
v1.near-wake.amp_ratio,0.053547688578845294,0.05821302848830364,1.0871,arm_summary.json
v1.near-wake.corr,0.0822224367766443,0.17265913693585683,2.0999,arm_summary.json
v1.far-wake.rel_L2,0.9975692686865472,0.9973119597209451,0.9997,arm_summary.json
v1.far-wake.amp_ratio,0.021598279196610882,0.026388427150502082,1.2218,arm_summary.json
v1.far-wake.corr,0.1416339535130898,0.11655645754876882,0.8229,arm_summary.json
v1.far-core.rel_L2,0.9974424387095059,0.9971751757589088,0.9997,arm_summary.json
v1.far-core.amp_ratio,0.018948157115054525,0.023073363998834168,1.2177,arm_summary.json
v1.far-core.corr,0.16035731079632312,0.13427737043421548,0.8374,arm_summary.json
v1.whole-domain.rel_L2,0.9982455018511894,0.9988268975880139,1.0006,arm_summary.json
v1.whole-domain.amp_ratio,0.04659970799634275,0.0492939946469077,1.0578,arm_summary.json
v1.whole-domain.corr,0.06938340482171801,0.0709359914221423,1.0224,arm_summary.json
