noise_sigma,quantity,variable,region,metric,value
0.0,field,u,near-cylinder,relative_L2,2.286869674829259e-05
0.0,field,v,near-cylinder,relative_L2,6.731881019780416e-05
0.0,field,p,near-cylinder,relative_L2,1.5683316240781807e-05
0.0,field,u,near-wake,relative_L2,0.0043745710047527475
0.0,field,v,near-wake,relative_L2,0.017806444402005826
0.0,field,p,near-wake,relative_L2,0.0031745410167758874
0.0,field,u,far-wake,relative_L2,0.00761545571071143
0.0,field,v,far-wake,relative_L2,0.047755463257274144
0.0,field,p,far-wake,relative_L2,0.030017369660894834
0.0,field,u,far-core,relative_L2,0.009145584335258073
0.0,field,v,far-core,relative_L2,0.047995716276749305
0.0,field,p,far-core,relative_L2,0.030125661089528327
0.0,field,u,other,relative_L2,5.04186597283592e-07
0.0,field,v,other,relative_L2,1.5453361197345168e-06
0.0,field,p,other,relative_L2,6.309971585761118e-06
0.0,field,u,whole-domain,relative_L2,0.005413350816148231
0.0,field,v,whole-domain,relative_L2,0.03120063137713612
0.0,field,p,whole-domain,relative_L2,0.006100471076380209
0.0,first_harmonic_v1,v,near-cylinder,relative_L2,2.3167518509285225e-07
0.0,first_harmonic_v1,v,near-cylinder,amplitude_ratio,1.0000000001009866
0.0,first_harmonic_v1,v,near-cylinder,correlation,0.9999999999999747
0.0,first_harmonic_v1,v,near-cylinder,phase_deg,1.1939302983124555e-08
0.0,first_harmonic_v1,v,near-wake,relative_L2,8.582424108824118e-06
0.0,first_harmonic_v1,v,near-wake,amplitude_ratio,0.9999998907853771
0.0,first_harmonic_v1,v,near-wake,correlation,0.999999999963177
0.0,first_harmonic_v1,v,near-wake,phase_deg,-2.818306937727648e-06
0.0,first_harmonic_v1,v,far-wake,relative_L2,2.1604607621236236e-05
0.0,first_harmonic_v1,v,far-wake,amplitude_ratio,1.000000263371953
0.0,first_harmonic_v1,v,far-wake,correlation,0.9999999997666702
0.0,first_harmonic_v1,v,far-wake,phase_deg,-1.0284947931047066e-05
0.0,first_harmonic_v1,v,far-core,relative_L2,2.1704818480387155e-05
0.0,first_harmonic_v1,v,far-core,amplitude_ratio,1.000000268579337
0.0,first_harmonic_v1,v,far-core,correlation,0.9999999997645026
0.0,first_harmonic_v1,v,far-core,phase_deg,-1.0442038978563257e-05
0.0,first_harmonic_v1,v,other,relative_L2,2.1924960609682784e-08
0.0,first_harmonic_v1,v,other,amplitude_ratio,1.0000000056527294
0.0,first_harmonic_v1,v,other,correlation,0.9999999999999997
0.0,first_harmonic_v1,v,other,phase_deg,2.913500448597015e-07
0.0,first_harmonic_v1,v,whole-domain,relative_L2,1.8375024331702566e-05
0.0,first_harmonic_v1,v,whole-domain,amplitude_ratio,1.0000001431087857
0.0,first_harmonic_v1,v,whole-domain,correlation,0.9999999998311996
0.0,first_harmonic_v1,v,whole-domain,phase_deg,-7.815481056237948e-06
0.00047265,field,u,near-cylinder,relative_L2,0.0004678902439295536
0.00047265,field,v,near-cylinder,relative_L2,0.0016329358279971971
0.00047265,field,p,near-cylinder,relative_L2,0.0004858961043343863
0.00047265,field,u,near-wake,relative_L2,0.012884432979911296
0.00047265,field,v,near-wake,relative_L2,0.0555918443338466
0.00047265,field,p,near-wake,relative_L2,0.013628776123015607
0.00047265,field,u,far-wake,relative_L2,0.02441084533392016
0.00047265,field,v,far-wake,relative_L2,0.1874870567959049
0.00047265,field,p,far-wake,relative_L2,0.0835352254447549
0.00047265,field,u,far-core,relative_L2,0.02929772051316478
0.00047265,field,v,far-core,relative_L2,0.1884571393550932
0.00047265,field,p,far-core,relative_L2,0.08382182940335227
0.00047265,field,u,other,relative_L2,8.169607027577783e-05
0.00047265,field,v,other,relative_L2,0.0003040514662219091
0.00047265,field,p,other,relative_L2,0.0002528711625754124
0.00047265,field,u,whole-domain,relative_L2,0.01702082232943788
0.00047265,field,v,whole-domain,relative_L2,0.1209155344049919
0.00047265,field,p,whole-domain,relative_L2,0.017846366198498123
0.00047265,first_harmonic_v1,v,near-cylinder,relative_L2,0.0009372221427845566
0.00047265,first_harmonic_v1,v,near-cylinder,amplitude_ratio,1.000584495260488
0.00047265,first_harmonic_v1,v,near-cylinder,correlation,0.9999999147017284
0.00047265,first_harmonic_v1,v,near-cylinder,phase_deg,-0.03465521324006093
0.00047265,first_harmonic_v1,v,near-wake,relative_L2,0.002381752981283717
0.00047265,first_harmonic_v1,v,near-wake,amplitude_ratio,1.0009115962460113
0.00047265,first_harmonic_v1,v,near-wake,correlation,0.999997665082077
0.00047265,first_harmonic_v1,v,near-wake,phase_deg,0.023448916668595218
0.00047265,first_harmonic_v1,v,far-wake,relative_L2,0.007119209698812341
0.00047265,first_harmonic_v1,v,far-wake,amplitude_ratio,1.0007190413559772
0.00047265,first_harmonic_v1,v,far-wake,correlation,0.9999749630457568
0.00047265,first_harmonic_v1,v,far-wake,phase_deg,0.013579653735566858
0.00047265,first_harmonic_v1,v,far-core,relative_L2,0.007152558465898097
0.00047265,first_harmonic_v1,v,far-core,amplitude_ratio,1.0007153971195872
0.00047265,first_harmonic_v1,v,far-core,correlation,0.9999747227266486
0.00047265,first_harmonic_v1,v,far-core,phase_deg,0.01362474676802288
0.00047265,first_harmonic_v1,v,other,relative_L2,0.0008087208335780813
0.00047265,first_harmonic_v1,v,other,amplitude_ratio,1.0005740460340444
0.00047265,first_harmonic_v1,v,other,correlation,0.9999999022565285
0.00047265,first_harmonic_v1,v,other,phase_deg,-0.020564910099150124
0.00047265,first_harmonic_v1,v,whole-domain,relative_L2,0.005995159153451729
0.00047265,first_harmonic_v1,v,whole-domain,amplitude_ratio,1.00077800068199
0.00047265,first_harmonic_v1,v,whole-domain,correlation,0.999982384975697
0.00047265,first_harmonic_v1,v,whole-domain,phase_deg,0.01611737916821877
0.0023633,field,u,near-cylinder,relative_L2,0.00233559201932778
0.0023633,field,v,near-cylinder,relative_L2,0.008154386011180093
0.0023633,field,p,near-cylinder,relative_L2,0.002428710615880466
0.0023633,field,u,near-wake,relative_L2,0.060492648747553585
0.0023633,field,v,near-wake,relative_L2,0.2633245642807121
0.0023633,field,p,near-wake,relative_L2,0.0662151925365544
0.0023633,field,u,far-wake,relative_L2,0.11625700756982321
0.0023633,field,v,far-wake,relative_L2,0.9078805383536414
0.0023633,field,p,far-wake,relative_L2,0.3909249026002217
0.0023633,field,u,far-core,relative_L2,0.13952633120191008
0.0023633,field,v,far-core,relative_L2,0.9125900728736867
0.0023633,field,p,far-core,relative_L2,0.392256759251653
0.0023633,field,u,other,relative_L2,0.00040847959897132957
0.0023633,field,v,other,relative_L2,0.0015202913953915249
0.0023633,field,p,other,relative_L2,0.0012637331954130475
0.0023633,field,u,whole-domain,relative_L2,0.08081829727034347
0.0023633,field,v,whole-domain,relative_L2,0.5849459435173885
0.0023633,field,p,whole-domain,relative_L2,0.0840480886040998
0.0023633,first_harmonic_v1,v,near-cylinder,relative_L2,0.0046864955489160825
0.0023633,first_harmonic_v1,v,near-cylinder,amplitude_ratio,1.0029278911722395
0.0023633,first_harmonic_v1,v,near-cylinder,correlation,0.9999978760750696
