result_id,analysis_id,analysis,analysis_status,method_family,method_id,method,observations,tap_count,collocation,prior_active,noise_percent,metric_group,quantity,metric,region,value,unit,reference,value_type,phase_convention,verification,source,notes
MP-0001,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,field,u,rel_L2,near-cylinder,0.0592205636203289,dimensionless,CFD,raw_metric,not applicable,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0002,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,field,v,rel_L2,near-cylinder,0.0647122859954834,dimensionless,CFD,raw_metric,not applicable,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0003,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,field,p,rel_L2,near-cylinder,0.017133427783846855,dimensionless,CFD,raw_metric,not applicable,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0004,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,field,u,rel_L2,near-wake,0.16433614492416382,dimensionless,CFD,raw_metric,not applicable,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0005,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,field,v,rel_L2,near-wake,0.4852791726589203,dimensionless,CFD,raw_metric,not applicable,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0006,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,field,p,rel_L2,near-wake,0.3067087233066559,dimensionless,CFD,raw_metric,not applicable,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0007,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,field,u,rel_L2,far-wake,0.18780824542045593,dimensionless,CFD,raw_metric,not applicable,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0008,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,field,v,rel_L2,far-wake,0.4490889012813568,dimensionless,CFD,raw_metric,not applicable,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0009,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,field,p,rel_L2,far-wake,1.5653620958328247,dimensionless,CFD,raw_metric,not applicable,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0010,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,field,u,rel_L2,far-core,0.2100825160741806,dimensionless,CFD,raw_metric,not applicable,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0011,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,field,v,rel_L2,far-core,0.3913930058479309,dimensionless,CFD,raw_metric,not applicable,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0012,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,field,p,rel_L2,far-core,1.276977300643921,dimensionless,CFD,raw_metric,not applicable,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
MP-0013,A05,Prior plus collocation,complete_with_effort_caveat,Hybrid ModalPINN,prior_physics_uniform_collocation,Prior-assisted (uniform collocation),cylinder pressure,32,uniform,True,,field,u,rel_L2,other,0.11128376424312592,dimensionless,CFD,raw_metric,not applicable,verified_primary,modes_experiment/fresh_analysis/derived/a05_prior_collocation_summary.csv,"201-snapshot common-contract evaluation; v1 in the absolute-time convention (a perfect model scores rel_L2 0 and phase 0); optimizer effort 34643 L-BFGS evaluations, not a controlled budget."
