geometry,field,region,rho,cap,zero_reachable_frac,truth_reachable_frac,mean_floor_over_mean_truth,median_floor_over_median_truth
square,u1,near-wake,0.6,0.12,1.0,0.7136673662119623,0.0,0.0
square,u1,far-wake,0.6,0.12,1.0,0.8488379186238029,0.0,0.0
square,u1,active-wake,0.6,0.12,1.0,0.7427937915742794,0.0,0.0
square,u1,active-far-wake,0.6,0.12,1.0,0.8350309566606751,0.0,0.0
square,v1,near-wake,0.6,0.12,0.8563746065057712,0.8713273871983211,0.014132238673181443,0.0
square,v1,far-wake,0.6,0.12,0.7377539193558226,1.0,0.02120526103445337,0.0
square,v1,active-wake,0.6,0.12,0.756135142245105,0.9262655492502537,0.018984886083057668,0.0
square,v1,active-far-wake,0.6,0.12,0.713800679049331,1.0,0.02137815208325317,0.0
radial,u1,near-wake,0.6,0.12,1.0,0.6950419727177335,0.0,0.0
radial,u1,far-wake,0.6,0.12,1.0,0.8138839748673214,0.0,0.0
radial,u1,active-wake,0.6,0.12,1.0,0.7105866436168213,0.0,0.0
radial,u1,active-far-wake,0.6,0.12,1.0,0.7968843618933493,0.0,0.0
radial,v1,near-wake,0.6,0.12,0.7202256033578174,0.8387985309548793,0.04370779782873473,0.0
radial,v1,far-wake,0.6,0.12,0.5090587445861038,1.0,0.0542913402457946,0.0
radial,v1,active-wake,0.6,0.12,0.5372242474350784,0.907625239580593,0.05138082103125847,0.0
radial,v1,active-far-wake,0.6,0.12,0.4642167631981892,1.0,0.05473398920637997,0.030168429528858568
